Parent ID,Parent Name,Triggered Mean Count,Triggered 10 Year Prob,Triggered Primary Mean Count
184,Compton,0.0,0.0,0.0
622,Concord 2011 CFM,0.0,0.0,0.0
626,Contra Costa (Lafayette) 2011 CFM,0.0,0.0,0.0
633,Contra Costa Shear Zone (connector) 2011 CFM,0.0,0.0,0.0
776,Coronado Bank alt1,9.0E-5,9.0E-5,2.0E-5
157,Coyote Canyon,0.00365,0.00314,4.8E-4
163,Coyote Lake,7.5E-4,7.1E-4,1.0E-4
125,Cucamonga,0.0,0.0,0.0
894,Davis Creek,3.0E-5,2.0E-5,2.0E-5
245,Death Valley (Black Mtns Frontal),0.00101,0.00101,2.1E-4
45,Death Valley (Fish Lake Valley),3.5E-4,3.5E-4,4.0E-5
46,Death Valley (No),5.0E-4,5.0E-4,7.0E-5
246,Death Valley (So),0.00323,0.00318,2.9E-4
51,Deep Springs,1.1E-4,1.1E-4,3.0E-5
230,Del Valle,0.0,0.0,0.0
889,Dog Valley,0.0,0.0,0.0
888,Dry Mountain,8.0E-5,8.0E-5,0.0
249,Earthquake Valley,1.0E-5,1.0E-5,0.0
255,Earthquake Valley (No  Extension),4.0E-5,4.0E-5,1.0E-5
256,Earthquake Valley (So Extension),1.0E-5,1.0E-5,0.0
671,East Huasna 2011 CFM,0.0,0.0,0.0
672,Eaton Roughs 2011 CFM,0.0,0.0,0.0
96,Elmore Ranch,2.0E-5,2.0E-5,0.0
103,Elsinore (Coyote Mountains),0.0,0.0,0.0
296,Elsinore (Glen Ivy) rev,3.5E-4,2.8E-4,8.0E-5
102,Elsinore (Julian),0.0,0.0,0.0
402,Elsinore (Stepovers Combined),2.0E-5,2.0E-5,1.0E-5
299,Elsinore (Temecula) rev,1.0E-5,1.0E-5,1.0E-5
196,Elysian Park (Lower CFM),1.0E-5,1.0E-5,0.0
146,Elysian Park (Upper),8.0E-5,7.0E-5,1.0E-5
90,Emerson-Copper Mtn 2011,2.0E-5,2.0E-5,0.0
95,Eureka Peak,0.0,0.0,0.0
20,Fickle Hill (alt1),0.0,0.0,0.0
698,Fish Slough 2011 CFM,0.0,0.0,0.0
893,Fitzhugh Creek,1.0E-5,1.0E-5,0.0
204,Fontana (Seismicity),1.0E-5,1.0E-5,0.0
634,Franklin 2011 CFM,0.0,0.0,0.0
699,Garberville - Briceland 2011 CFM,1.0E-5,1.0E-5,1.0E-5
159,Garlic Springs,0.00146,0.00138,1.5E-4
341,Garlock (Central),0.07995,0.07682,0.03845
48,Garlock (East),0.01914,0.01736,0.00454
49,Garlock (West),0.00555,0.00555,0.00249
700,Gillem - Big Crack 2011 CFM,0.0,0.0,0.0
160,Goldstone Lake,0.00555,0.00511,7.1E-4
701,Goose Lake 2011 CFM,2.0E-5,2.0E-5,1.0E-5
86,Gravel Hills-Harper Lk,0.00601,0.00574,0.00145
131,Great Valley 01,0.0,0.0,0.0
133,Great Valley 02,0.0,0.0,0.0
132,Great Valley 03 Mysterious Ridge,0.0,0.0,0.0
383,Great Valley 03a Dunnigan Hills,0.0,0.0,0.0
134,Great Valley 04a Trout Creek,0.0,0.0,0.0
381,Great Valley 04b Gordon Valley,0.0,0.0,0.0
717,Great Valley 05 Pittsburg - Kirby Hills alt1,1.0E-5,1.0E-5,1.0E-5
645,Great Valley 06 (Midland) 2011 CFM alt1,0.0,0.0,0.0
136,Great Valley 07 (Orestimba),4.0E-5,4.0E-5,2.0E-5
137,Great Valley 08 (Quinto),2.0E-5,2.0E-5,0.0
151,Great Valley 09 (Laguna Seca),1.1E-4,1.0E-4,5.0E-5
138,Great Valley 10 (Panoche),4.0E-5,4.0E-5,2.0E-5
139,Great Valley 11,2.0E-5,2.0E-5,0.0
140,Great Valley 12,1.0E-5,1.0E-5,0.0
142,Great Valley 13 (Coalinga),0.0,0.0,0.0
141,Great Valley 14 (Kettleman Hills),0.0,0.0,0.0
623,Green Valley 2011 CFM,2.0E-5,2.0E-5,0.0
636,Greenville (No) 2011 CFM,1.0E-5,1.0E-5,0.0
635,Greenville (So) 2011 CFM,1.0E-5,1.0E-5,0.0
702,Hartley Springs 2011 CFM,1.0E-5,1.0E-5,0.0
37,Hat Creek-McArthur-Mayfield,0.0,0.0,0.0
639,Hayward (No) 2011 CFM,2.0E-5,2.0E-5,1.0E-5
638,Hayward (So) 2011 CFM,5.0E-5,5.0E-5,3.0E-5
637,Hayward (So) extension 2011 CFM,1.0E-5,1.0E-5,1.0E-5
167,Hector Mine,0.0,0.0,0.0
84,Helendale-So Lockhart,7.9E-4,7.9E-4,1.7E-4
703,Hilton Creek 2011 CFM,0.0,0.0,0.0
108,Hollywood,3.0E-5,3.0E-5,1.0E-5
228,Holser alt 1,0.0,0.0,0.0
723,Homestead Valley 2011,0.0,0.0,0.0
704,Honey Lake 2011 CFM,1.0E-5,1.0E-5,1.0E-5
30,Hosgri,4.0E-5,4.0E-5,2.0E-5
208,Hosgri (Extension),5.0E-5,5.0E-5,1.0E-5
50,Hunter Mountain-Saline Valley,0.01019,0.00991,0.00399
677,Hunting Creek - Bartlett Springs connector 2011,1.0E-5,1.0E-5,0.0
640,Hunting Creek - Berryessa 2011 CFM,4.0E-5,3.0E-5,0.0
97,Imperial,1.3E-4,1.3E-4,6.0E-5
678,Incline Village 2011 CFM,0.0,0.0,0.0
65,Independence rev 2011,8.0E-5,8.0E-5,5.0E-5
892,Jess Valley,0.0,0.0,0.0
91,Johnson Valley (No) 2011 rev,4.0E-5,4.0E-5,3.0E-5
168,Joshua Tree (Seismicity),0.0,0.0,0.0
679,Keddie Ridge 2011 CFM,0.0,0.0,0.0
542,Kern Canyon (Lake Isabella) 2011,6.0E-5,6.0E-5,2.0E-5
544,Kern Canyon (North Kern) 2011,1.7E-4,1.7E-4,7.0E-5
543,Kern Canyon (South Kern) 2011,8.0E-5,8.0E-5,1.0E-5
92,Kickapoo,0.0,0.0,0.0
680,King Range 2011 CFM,0.0,0.0,0.0
641,La Panza 2011,1.0E-5,1.0E-5,0.0
104,Laguna Salada,1.0E-5,1.0E-5,1.0E-5
207,Lake Isabella (Seismicity),3.2E-4,3.2E-4,4.0E-5
642,Las Positas,1.0E-5,1.0E-5,0.0
890,Last Chance,0.0,0.0,0.0
85,Lenwood-Lockhart-Old Woman Springs,0.00314,0.00298,7.6E-4
705,Likely 2011 CFM,0.0,0.0,0.0
681,Lions Head 2011 CFM,0.0,0.0,0.0
144,Little Lake,0.06361,0.06147,0.03629
16,Little Salmon (Offshore),0.0,0.0,0.0
17,Little Salmon (Onshore),0.0,0.0,0.0
683,Los Alamos 2011 CFM,3.0E-5,3.0E-5,1.0E-5
780,Los Alamos extension,1.0E-5,1.0E-5,0.0
643,Los Medanos - Roe Island,0.0,0.0,0.0
74,Los Osos 2011,3.0E-5,3.0E-5,1.0E-5
201,Lost Hills,1.5E-4,1.5E-4,5.0E-5
166,Ludlow,2.9E-4,2.8E-4,7.0E-5
644,Maacama 2011 CFM,1.0E-5,1.0E-5,0.0
22,Mad River (alt1),0.0,0.0,0.0
221,Malibu Coast (Extension) alt 1,3.0E-5,3.0E-5,1.0E-5
220,Malibu Coast alt 1,4.0E-5,4.0E-5,0.0
164,Manix-Afton Hills,3.1E-4,3.0E-4,6.0E-5
21,McKinleyville (alt1),0.0,0.0,0.0
155,McLean Lake,0.0057,0.00539,3.4E-4
13,Mendocino,1.0E-5,1.0E-5,0.0
605,Mission (connected) 2011 CFM,0.0,0.0,0.0
250,Mission Creek,6.0E-5,6.0E-5,3.0E-5
779,Mission Hills 2011,1.0E-5,1.0E-5,0.0
78,Mission Ridge-Arroyo Parida-Santa Ana,1.3E-4,1.0E-4,1.0E-5
686,Mohawk Valley 2011 CFM,0.0,0.0,0.0
707,Mono Lake 2011 CFM,4.0E-5,4.0E-5,1.0E-5
646,Monte Vista - Shannon 2011 CFM,0.0,0.0,0.0
11,Monterey Bay-Tularcitos,2.0E-5,2.0E-5,1.0E-5
188,Morales (East),0.0,0.0,0.0
187,Morales (West),0.0,0.0,0.0
711,Mount Diablo Thrust North CFM,0.0,0.0,0.0
713,Mount Diablo Thrust South,1.0E-5,1.0E-5,0.0
156,Nelson Lake,0.00264,0.00237,1.9E-4
122,Newport-Inglewood (Offshore),2.0E-5,2.0E-5,1.0E-5
235,Newport-Inglewood alt 1,3.0E-5,3.0E-5,1.0E-5
83,North Frontal  (East),1.0E-5,1.0E-5,0.0
82,North Frontal  (West),1.0E-5,1.0E-5,1.0E-5
199,North Salt Lake,0.0,0.0,0.0
687,North Tahoe 2011 CFM,0.0,0.0,0.0
130,Northridge,0.0,0.0,0.0
211,Northridge Hills,0.0,0.0,0.0
116,Oak Ridge (Onshore),0.0,0.0,0.0
709,Oceanic - West Huasna,1.2E-4,9.0E-5,1.0E-5
777,Oceanside alt1,1.0E-5,1.0E-5,0.0
921,Ortigalita (North),9.0E-5,8.0E-5,2.0E-5
9,Ortigalita (South),5.0E-5,5.0E-5,2.0E-5
64,Owens Valley,1.6E-4,1.6E-4,6.0E-5
891,Owens Valley Keough Hot Springs,1.0E-5,1.0E-5,0.0
47,Owl Lake,0.03004,0.02628,0.0068
841,Ozena,0.0,0.0,0.0
109,Palos Verdes,7.0E-5,6.0E-5,4.0E-5
244,Panamint Valley,0.02602,0.02519,0.00794
162,Paradise,0.00181,0.00179,3.6E-4
186,Peralta Hills,0.0,0.0,0.0
647,Pilarcitos 2011 CFM,0.0,0.0,0.0
193,Pine Mtn,5.0E-5,5.0E-5,0.0
93,Pinto Mtn,2.3E-4,2.2E-4,2.0E-5
89,Pisgah-Bullion Mtn-Mesquite Lk,1.0E-4,9.0E-5,5.0E-5
212,Pitas Point (Lower West),1.0E-5,1.0E-5,0.0
215,Pitas Point (Lower)-Montalvo,1.0E-5,1.0E-5,0.0
688,Pittville 2011 CFM,1.0E-5,1.0E-5,0.0
58,Pleito,4.0E-5,4.0E-5,2.0E-5
666,Point Reyes 2011 CFM,1.0E-5,1.0E-5,0.0
843,Point Reyes 2011 connector,0.0,0.0,0.0
545,Polaris 2011 CFM,0.0,0.0,0.0
240,Puente Hills,2.0E-5,2.0E-5,0.0
648,Quien Sabe 2011 CFM,0.0,0.0,0.0
152,Raymond,3.0E-5,3.0E-5,0.0
118,Red Mountain,1.0E-4,8.0E-5,2.0E-5
161,Red Pass,2.9E-4,2.6E-4,6.0E-5
232,Redondo Canyon alt 1,2.0E-5,2.0E-5,2.0E-5
649,Reliz 2011 CFM,0.0,0.0,0.0
205,Richfield,0.0,0.0,0.0
650,Rinconada 2011 CFM,5.0E-5,5.0E-5,1.0E-5
38,Robinson Creek,3.0E-5,3.0E-5,0.0
689,Rocky Ledge 2011 CFM,0.0,0.0,0.0
651,Rodgers Creek - Healdsburg 2011 CFM,0.0,0.0,0.0
123,Rose Canyon,1.4E-4,1.2E-4,2.0E-5
42,Round Valley,0.0,0.0,0.0
690,Russ 2011 CFM,0.0,0.0,0.0
287,San Andreas (Big Bend),4.4E-4,4.3E-4,2.0E-5
300,San Andreas (Carrizo) rev,3.4E-4,3.4E-4,3.0E-5
285,San Andreas (Cholame) rev,3.4E-4,3.3E-4,4.0E-5
295,San Andreas (Coachella) rev,3.0E-4,2.9E-4,1.3E-4
658,San Andreas (Creeping Section) 2011 CFM,2.3E-4,2.2E-4,5.0E-5
286,San Andreas (Mojave N),0.00244,0.0024,9.3E-4
301,San Andreas (Mojave S),0.00346,0.003,0.0011
294,San Andreas (North Branch Mill Creek),1.6E-4,1.6E-4,7.0E-5
654,San Andreas (North Coast) 2011 CFM,0.0,0.0,0.0
653,San Andreas (Offshore) 2011 CFM,0.0,0.0,0.0
32,San Andreas (Parkfield),5.0E-4,4.7E-4,9.0E-5
655,San Andreas (Peninsula) 2011 CFM,0.0,0.0,0.0
282,San Andreas (San Bernardino N),0.00136,0.00131,5.0E-4
283,San Andreas (San Bernardino S),6.7E-4,6.4E-4,2.4E-4
284,San Andreas (San Gorgonio Pass-Garnet HIll),4.4E-4,4.4E-4,2.0E-4
657,San Andreas (Santa Cruz Mts) 2011 CFM,0.0,0.0,0.0
80,San Cayetano,1.0E-5,1.0E-5,0.0
178,San Clemente,1.3E-4,1.3E-4,2.0E-5
774,San Diego Trough north alt1,9.0E-5,9.0E-5,3.0E-5
177,San Diego Trough south,6.0E-5,5.0E-5,2.0E-5
247,San Gabriel,3.0E-5,3.0E-5,1.0E-5
248,San Gabriel (Extension),1.0E-5,1.0E-5,1.0E-5
194,San Gorgonio Pass,3.0E-5,3.0E-5,1.0E-5
660,San Gregorio (North) 2011 CFM,2.0E-5,2.0E-5,0.0
661,San Gregorio (South) 2011 CFM,1.0E-5,1.0E-5,0.0
293,San Jacinto (Anza) rev,5.0E-5,5.0E-5,2.0E-5
99,San Jacinto (Borrego),2.0E-5,2.0E-5,2.0E-5
292,San Jacinto (Clark) rev,2.0E-5,2.0E-5,0.0
101,San Jacinto (Coyote Creek),2.0E-5,2.0E-5,2.0E-5
901,San Jacinto (Lytle Creek connector),5.0E-5,5.0E-5,2.0E-5
119,San Jacinto (San Bernardino),9.0E-5,9.0E-5,4.0E-5
289,San Jacinto (San Jacinto Valley) rev,5.0E-5,5.0E-5,3.0E-5
401,San Jacinto (Stepovers Combined),5.0E-5,5.0E-5,3.0E-5
28,San Jacinto (Superstition Mtn),1.0E-5,1.0E-5,0.0
143,San Joaquin Hills,1.0E-5,1.0E-5,0.0
107,San Jose,0.0,0.0,0.0
31,San Juan,0.0,0.0,0.0
692,San Luis Range - Oceano 2011 CFM,0.0,0.0,0.0
693,San Luis Range - Pecho 2011 CFM,0.0,0.0,0.0
691,San Luis Range 2011 CFM,1.0E-5,1.0E-5,0.0
181,San Pedro Basin,6.0E-5,6.0E-5,0.0
183,San Pedro Escarpment,0.0,0.0,0.0
198,San Vicente,1.0E-5,1.0E-5,0.0
775,Santa Cruz Catalina Ridge alt1,9.0E-5,9.0E-5,1.0E-5
111,Santa Cruz Island,1.1E-4,8.0E-5,2.0E-5
185,Santa Monica Bay,0.0,0.0,0.0
226,Santa Monica alt 1,3.0E-5,3.0E-5,0.0
110,Santa Rosa Island,1.4E-4,1.4E-4,2.0E-5
778,Santa Susana East (connector),2.0E-5,2.0E-5,1.0E-5
227,Santa Susana alt 1,0.0,0.0,0.0
79,Santa Ynez (East),1.5E-4,1.4E-4,3.0E-5
77,Santa Ynez (West),1.7E-4,1.7E-4,3.0E-5
781,Santa Ynez River,5.0E-5,5.0E-5,0.0
662,Sargent 2011 CFM,0.0,0.0,0.0
209,Scodie Lineament,3.8E-4,3.8E-4,1.2E-4
885,Sheephole,7.0E-5,7.0E-5,0.0
547,Shoreline,0.0,0.0,0.0
114,Sierra Madre,1.0E-5,1.0E-5,0.0
113,Sierra Madre (San Fernando),0.0,0.0,0.0
210,Sierra Nevada  (No Extension),4.0E-4,3.7E-4,1.4E-4
664,Silver Creek 2011 CFM,0.0,0.0,0.0
115,Simi-Santa Rosa,0.0,0.0,0.0
202,Sisar,0.0,0.0,0.0
694,Skinner Flat 2011 CFM,0.0,0.0,0.0
63,So Sierra Nevada,0.00424,0.00418,9.1E-4
189,South Cuyama,0.0,0.0,0.0
719,South Klamath Lake East,0.0,0.0,0.0
720,South Klamath Lake West,1.0E-5,1.0E-5,0.0
98,Superstition Hills,1.0E-5,1.0E-5,0.0
708,Surprise Valley 2011 CFM,0.0,0.0,0.0
695,Swain Ravine - Spenceville,0.0,0.0,0.0
15,Table Bluff,0.0,0.0,0.0
145,Tank Canyon,0.135,0.11398,0.03483
174,Thirty Mile Bank,0.0,0.0,0.0
887,Tin Mountain,1.0E-4,1.0E-4,2.0E-5
886,Towne Pass,0.00224,0.00219,8.0E-5
19,Trinidad (alt1),0.0,0.0,0.0
117,Ventura-Pitas Point,8.0E-5,8.0E-5,1.0E-5
112,Verdugo,1.0E-5,1.0E-5,1.0E-5
696,Walker Spring 2011 CFM,0.0,0.0,0.0
665,West Napa 2011 CFM,2.0E-5,2.0E-5,1.0E-5
321,West Tahoe,1.0E-5,1.0E-5,0.0
44,White Mountains,1.1E-4,1.1E-4,2.0E-5
253,White Wolf,1.0E-5,1.0E-5,0.0
254,White Wolf (Extension),3.0E-4,3.0E-4,1.3E-4
236,Whittier alt 1,1.1E-4,1.0E-4,2.0E-5
697,Wight Way 2011 CFM,0.0,0.0,0.0
206,Yorba Linda,0.0,0.0,0.0
715,Zayante-Vergeles 2011 CFM,0.0,0.0,0.0
