Section Name,"Strike, Dip, Rake",Hypocenter In Polygon?,Surface In Polygon?,Minimum Distance (km),Minimum Poly Distance (km)
San Andreas (San Bernardino S),"120, 90, 180",false,false,174.860,165.595
Santa Susana East (connector),"108, 55, 90",false,false,176.019,174.284
Deep Springs,"205, 50, -90",false,false,176.877,175.832
Kickapoo,"3, 90, 180",false,false,177.470,170.841
Santa Ynez (East),"82, 70, 0",false,false,178.122,174.396
Death Valley (Fish Lake Valley),"322, 90, -150",false,false,178.144,171.811
Del Valle,"106, 73, 90",false,false,178.156,171.511
Puente Hills,"290, 25, 90",false,false,179.627,179.579
Elysian Park (Upper),"285, 50, 90",false,false,179.867,179.757
Owens Valley Keough Hot Springs,"340, 50, -90",false,false,181.127,181.081
San Pedro Escarpment,"308, 17, 90",false,false,181.848,181.704
Oak Ridge (Onshore),"71, 65, 90",false,false,182.796,180.143
Hollywood,"255, 70, 30",false,false,182.807,182.604
Big Pine (Central),"78, 76, 90",false,false,184.040,180.683
North Salt Lake,"253, 54, 90",false,false,185.073,184.900
Simi-Santa Rosa,"255, 60, 30",false,false,185.578,185.550
San Gorgonio Pass,"281, 60, 90",false,false,185.897,185.639
Elysian Park (Lower CFM),"303, 22, 90",false,false,186.790,186.696
Richfield,"263, 28, 90",false,false,186.793,186.746
Compton,"304, 20, 90",false,false,186.959,186.836
Mission Creek,"275, 65, 180",false,false,187.049,186.819
Chino alt 1,"146, 50, 150",false,false,187.550,186.778
San Jacinto (San Jacinto Valley) rev,"133, 90, 180",false,false,189.319,181.837
Morales (East),"284, 32, 90",false,false,189.831,189.828
San Vicente,"277, 66, 90",false,false,190.512,190.331
San Andreas (Carrizo) rev,"134, 90, 180",false,false,191.604,180.283
Whittier alt 1,"294, 70, 150",false,false,192.009,190.507
Ventura-Pitas Point,"257, 64, 60",false,false,194.794,194.699
Round Valley,"340, 50, -90",false,false,195.212,195.163
Santa Monica alt 1,"253, 75, 30",false,false,196.351,194.144
Pinto Mtn,"87, 90, 0",false,false,196.697,185.319
Fish Slough 2011 CFM,"181, 60, -90",false,false,197.148,194.160
Peralta Hills,"273, 50, 90",false,false,197.319,197.248
Yorba Linda,"63, 90, 90",false,false,198.212,188.241
Lost Hills,"143, 29, 90",false,false,198.943,198.864
San Andreas (San Gorgonio Pass-Garnet HIll),"290, 58, 180",false,false,198.993,198.952
Santa Monica Bay,"314, 20, 90",false,false,199.186,198.976
Burnt Mtn,"175, 67, 180",false,false,199.898,199.768
Sisar,"78, 29, 90",false,false,200.962,200.222
Cleghorn Pass,"330, 90, 180",false,false,201.104,198.516
Newport-Inglewood alt 1,"319, 88, 180",false,false,201.140,191.295
Ozena,"126, 33, 90",false,false,202.662,201.563
Eureka Peak,"345, 90, 180",false,false,203.158,200.460
Morales (West),"319, 32, 90",false,false,203.546,203.535
San Jacinto (Stepovers Combined),"139, 90, 180",false,false,203.815,198.040
Big Pine (West),"272, 50, 90",false,false,203.986,203.970
Mission Ridge-Arroyo Parida-Santa Ana,"86, 70, 90",false,false,204.169,200.288
Malibu Coast alt 1,"273, 75, 30",false,false,206.293,201.333
Anaheim,"315, 71, 90",false,false,206.425,204.049
Cleghorn Lake,"333, 90, 180",false,false,206.834,203.379
Anacapa-Dume alt 1,"264, 45, 60",false,false,207.540,207.430
Elsinore (Glen Ivy) rev,"128, 90, 180",false,false,208.748,199.216
Joshua Tree (Seismicity),"181, 90, 180",false,false,211.333,205.209
South Cuyama,"122, 33, 90",false,false,211.680,210.976
Palos Verdes,"322, 90, 180",false,false,215.352,204.647
Red Mountain,"271, 56, 90",false,false,216.688,216.622
San Andreas (Cholame) rev,"321, 90, 180",false,false,217.810,207.122
Great Valley 14 (Kettleman Hills),"125, 22, 90",false,false,220.041,220.020
Pitas Point (Lower)-Montalvo,"269, 16, 90",false,false,220.372,220.343
La Panza 2011,"315, 51, 135",false,false,222.784,222.696
Malibu Coast (Extension) alt 1,"274, 74, 30",false,false,223.566,219.343
Elsinore (Stepovers Combined),"134, 90, 180",false,false,224.930,216.931
San Jacinto (Anza) rev,"126, 90, 180",false,false,225.521,204.357
Redondo Canyon alt 1,"81, 90, 90",false,false,225.558,215.221
San Joaquin Hills,"114, 23, 90",false,false,226.228,226.122
San Pedro Basin,"321, 88, 180",false,false,228.419,218.104
Sheephole,"318, 90, 180",false,false,229.157,228.998
Hilton Creek 2011 CFM,"327, 50, -90",false,false,229.690,227.377
Blue Cut,"87, 90, 0",false,false,229.980,219.269
San Juan,"152, 90, 180",false,false,230.713,218.927
Channel Islands Thrust,"264, 20, 90",false,false,232.420,232.401
Elsinore (Temecula) rev,"140, 90, 180",false,false,233.700,225.307
Santa Ynez (West),"91, 70, 0",false,false,235.609,231.951
Newport-Inglewood (Offshore),"137, 90, 180",false,false,237.986,228.651
Oceanside alt1,"341, 23, 90",false,false,238.837,238.837
Great Valley 13 (Coalinga),"136, 15, 90",false,false,239.806,239.757
San Andreas (Coachella) rev,"135, 90, 180",false,false,242.312,238.973
Pitas Point (Lower West),"273, 13, 90",false,false,243.471,243.455
San Luis Range 2011 CFM,"307, 52, 90",false,false,248.183,248.144
East Huasna 2011 CFM,"323, 90, 180",false,false,249.223,237.491
Santa Cruz Island,"98, 90, 30",false,false,249.471,239.283
Los Alamos extension,"115, 30, 90",false,false,250.366,249.347
Hartley Springs 2011 CFM,"342, 50, -90",false,false,251.156,243.063
Channel Islands Western Deep Ramp,"114, 21, 90",false,false,251.208,251.166
San Andreas (Parkfield),"320, 90, 180",false,false,252.085,243.051
Santa Ynez River,"99, 70, 45",false,false,252.520,248.513
Lions Head 2011 CFM,"295, 75, 90",false,false,260.910,257.513
San Diego Trough north alt1,"326, 90, 180",false,false,261.607,252.712
San Jacinto (Clark) rev,"124, 90, 180",false,false,262.634,255.758
Santa Cruz Catalina Ridge alt1,"307, 90, 135",false,false,262.782,250.767
Los Alamos 2011 CFM,"120, 30, 90",false,false,263.057,261.979
San Jacinto (Coyote Creek),"133, 90, 180",false,false,263.880,258.482
Great Valley 12,"153, 15, 90",false,false,265.089,265.057
Oceanic - West Huasna,"316, 58, 135",false,false,265.522,264.836
Elsinore (Julian),"306, 84, 180",false,false,265.646,259.791
Earthquake Valley (No  Extension),"131, 90, 180",false,false,265.896,259.036
San Luis Range - Oceano 2011 CFM,"313, 45, 90",false,false,271.630,271.573
Rinconada 2011 CFM,"146, 82, 180",false,false,274.070,265.164
Los Osos 2011,"119, 45, 90",false,false,275.132,274.767
San Andreas (Creeping Section) 2011 CFM,"317, 90, 180",false,false,277.165,269.294
Casmalia 2011 CFM,"123, 75, 90",false,false,278.314,271.943
Great Valley 11,"131, 15, 90",false,false,278.343,278.315
Thirty Mile Bank,"321, 24, 90",false,false,284.799,284.799
Mono Lake 2011 CFM,"340, 50, -90",false,false,284.927,284.872
Rose Canyon,"338, 90, 180",false,false,285.183,281.215
Santa Rosa Island,"271, 90, 30",false,false,288.699,280.728
Carlsbad,"341, 37, 90",false,false,292.411,292.408
Earthquake Valley,"127, 90, 180",false,false,293.165,286.150
San Clemente,"317, 88, 180",false,false,293.566,283.487
San Luis Range - Pecho 2011 CFM,"313, 90, 90",false,false,297.746,287.612
Great Valley 10 (Panoche),"152, 15, 90",false,false,299.739,299.705
Shoreline,"308, 90, 180",false,false,299.903,290.623
Brawley (Seismic Zone) alt 1,"160, 90, 180",false,false,301.155,299.127
San Jacinto (Borrego),"133, 90, 180",false,false,302.409,297.727
Hosgri,"328, 80, 180",false,false,306.674,299.945
Hosgri (Extension),"349, 80, 180",false,false,307.444,299.844
Earthquake Valley (So Extension),"114, 90, 180",false,false,309.584,300.865
Robinson Creek,"27, 50, -90",false,false,312.083,312.044
Coronado Bank alt1,"150, 90, 180",false,false,313.856,287.987
Ortigalita (South),"152, 90, 180",false,false,314.676,306.427
Great Valley 09 (Laguna Seca),"147, 25, 90",false,false,315.433,315.409
Elsinore (Coyote Mountains),"305, 82, 180",false,false,321.030,316.593
Calaveras (So) - Paicines extension 2011 CFM,"141, 77, 180",false,false,321.789,316.801
Elmore Ranch,"220, 90, 0",false,false,323.290,311.986
Superstition Hills,"130, 90, 180",false,false,331.814,327.136
San Jacinto (Superstition Mtn),"120, 90, 180",false,false,333.232,326.438
Reliz 2011 CFM,"134, 58, 180",false,false,341.468,339.918
Great Valley 08 (Quinto),"151, 25, 90",false,false,347.795,347.641
Ortigalita (North),"326, 90, 180",false,false,348.508,342.217
Antelope Valley 2011,"343, 50, -90",false,false,351.227,351.193
Quien Sabe 2011 CFM,"144, 85, 180",false,false,351.860,345.764
Imperial,"325, 82, 180",false,false,357.317,356.661
Great Valley 07 (Orestimba),"141, 20, 90",false,false,361.713,361.686
San Diego Trough south,"134, 90, 180",false,false,362.292,353.959
Laguna Salada,"311, 90, 180",false,false,363.279,358.308
Monterey Bay-Tularcitos,"319, 90, 150",false,false,366.506,359.116
Calaveras (So) 2011 CFM,"336, 85, 180",false,false,370.076,363.014
Sargent 2011 CFM,"122, 90, 180",false,false,373.135,370.665
Zayante-Vergeles 2011 CFM,"119, 30, 150",false,false,375.582,375.235
San Andreas (Santa Cruz Mts) 2011 CFM,"131, 79, 180",false,false,376.334,372.811
San Gregorio (South) 2011 CFM,"332, 75, 180",false,false,378.534,374.867
Cerro Prieto,"131, 90, 180",false,false,381.776,377.356
Carson Range (Genoa),"355, 50, -90",false,false,382.574,382.528
Calaveras (Central) 2011 CFM,"329, 77, 180",false,false,387.594,380.029
Greenville (So) 2011 CFM,"347, 87, 180",false,false,393.427,385.075
West Tahoe,"350, 50, -90",false,false,399.947,399.900
Silver Creek 2011 CFM,"322, 75, 180",false,false,402.200,400.008
Hayward (So) extension 2011 CFM,"326, 48, 135",false,false,406.212,406.182
Greenville (No) 2011 CFM,"324, 84, 180",false,false,411.435,407.609
Monte Vista - Shannon 2011 CFM,"122, 61, 90",false,false,414.510,413.202
Canada David (Detachment),"165, 37, -90",false,false,419.869,419.808
Butano 2011 CFM,"297, 70, 135",false,false,425.247,425.037
Hayward (So) 2011 CFM,"322, 76, 180",false,false,425.748,423.657
Mission (connected) 2011 CFM,"134, 90, 180",false,false,431.214,427.472
Calaveras (No) 2011 CFM,"155, 80, 180",false,false,431.286,425.466
North Tahoe 2011 CFM,"17, 50, -90",false,false,431.881,431.846
Incline Village 2011 CFM,"17, 50, -90",false,false,432.192,432.165
Las Positas,"231, 90, 45",false,false,432.858,421.634
San Andreas (Peninsula) 2011 CFM,"324, 90, 180",false,false,433.970,427.445
San Gregorio (North) 2011 CFM,"159, 90, 180",false,false,437.626,428.058
Great Valley 06 (Midland) 2011 CFM alt1,"167, 47, 90",false,false,438.963,438.834
Mount Diablo Thrust South,"294, 40, 90",false,false,442.518,442.320
Swain Ravine - Spenceville,"333, 60, -90",false,false,449.806,449.762
Mount Diablo Thrust North CFM,"318, 40, 90",false,false,450.006,449.951
Pilarcitos 2011 CFM,"316, 81, 180",false,false,452.117,448.914
Clayton,"142, 90, 180",false,false,454.766,450.477
Polaris 2011 CFM,"155, 81, 180",false,false,459.214,457.429
Great Valley 05 Pittsburg - Kirby Hills alt1,"348, 55, 180",false,false,463.827,463.775
Los Medanos - Roe Island,"309, 39, 90",false,false,465.208,465.153
Concord 2011 CFM,"152, 90, 180",false,false,467.779,461.590
Franklin 2011 CFM,"326, 90, 180",false,false,468.898,463.529
Dog Valley,"39, 90, 0",false,false,472.756,461.419
Contra Costa (Lafayette) 2011 CFM,"346, 90, 180",false,false,472.995,464.236
Hayward (No) 2011 CFM,"331, 82, 180",false,false,475.077,470.703
Contra Costa Shear Zone (connector) 2011 CFM,"157, 81, 180",false,false,477.234,470.609
Last Chance,"358, 50, -90",false,false,480.528,480.462
Green Valley 2011 CFM,"164, 84, 180",false,false,483.470,476.435
Great Valley 04b Gordon Valley,"162, 20, 90",false,false,487.621,487.559
Mohawk Valley 2011 CFM,"328, 90, 180",false,false,490.580,490.539
Point Reyes 2011 connector,"320, 53, 90",false,false,500.904,500.858
West Napa 2011 CFM,"151, 75, 180",false,false,502.087,498.273
Great Valley 03a Dunnigan Hills,"330, 20, 90",false,false,502.352,502.313
Great Valley 04a Trout Creek,"155, 20, 90",false,false,507.295,507.241
Hunting Creek - Berryessa 2011 CFM,"332, 90, 180",false,false,515.640,510.051
Rodgers Creek - Healdsburg 2011 CFM,"324, 77, 180",false,false,515.713,513.575
San Andreas (North Coast) 2011 CFM,"325, 90, 180",false,false,519.831,514.123
Great Valley 03 Mysterious Ridge,"157, 20, 90",false,false,521.445,521.390
Bennett Valley 2011 CFM,"330, 90, 180",false,false,522.366,516.548
Honey Lake 2011 CFM,"305, 90, 180",false,false,522.967,517.215
Point Reyes 2011 CFM,"319, 53, 90",false,false,532.119,532.089
Hunting Creek - Bartlett Springs connector 2011,"342, 90, 180",false,false,542.739,535.813
Maacama 2011 CFM,"329, 63, 180",false,false,549.142,549.082
Collayami 2011 CFM,"134, 90, 180",false,false,559.458,557.802
Great Valley 02,"183, 15, 90",false,false,565.874,565.830
Keddie Ridge 2011 CFM,"312, 90, -135",false,false,568.921,565.747
Bartlett Springs 2011 CFM,"328, 90, 180",false,false,573.300,569.268
Skinner Flat 2011 CFM,"306, 90, -135",false,false,574.251,570.122
Great Valley 01,"178, 15, 90",false,false,579.510,579.463
Walker Spring 2011 CFM,"349, 90, -90",false,false,589.814,585.430
Almanor 2011 CFM,"162, 90, -135",false,false,592.225,557.594
Wight Way 2011 CFM,"263, 69, -90",false,false,594.286,590.346
Likely 2011 CFM,"319, 90, 180",false,false,624.168,620.566
Hat Creek-McArthur-Mayfield,"164, 60, -90",false,false,633.496,632.588
Jess Valley,"352, 50, -90",false,false,637.855,637.828
Surprise Valley 2011 CFM,"353, 50, -90",false,false,644.344,644.334
Battle Creek 2011 CFM,"66, 74, 90",false,false,646.429,644.815
Pittville 2011 CFM,"164, 60, -90",false,false,664.341,661.017
Fitzhugh Creek,"185, 50, -90",false,false,666.823,660.050
San Andreas (Offshore) 2011 CFM,"338, 90, 180",false,false,674.396,667.369
Rocky Ledge 2011 CFM,"175, 60, -90",false,false,675.368,673.016
Eaton Roughs 2011 CFM,"330, 90, 180",false,false,697.974,694.068
Davis Creek,"170, 50, -90",false,false,701.343,701.161
Goose Lake 2011 CFM,"166, 58, -90",false,false,712.065,711.479
Garberville - Briceland 2011 CFM,"315, 90, 180",false,false,718.552,717.395
King Range 2011 CFM,"130, 29, 90",false,false,743.685,743.382
Gillem - Big Crack 2011 CFM,"4, 60, -90",false,false,748.315,742.111
Russ 2011 CFM,"305, 71, 135",false,false,748.333,747.574
Cedar Mtn-Mahogany Mtn,"347, 60, -90",false,false,749.664,749.643
Bear River fault zone,"300, 60, 90",false,false,775.502,774.931
Little Salmon (Onshore),"322, 30, 90",false,false,777.267,765.539
Big Lagoon - Bald Mtn 2011 CFM,"336, 35, 90",false,false,780.610,780.487
Mendocino,"278, 90, 180",false,false,780.844,774.820
Trinidad (alt1),"328, 35, 90",false,false,786.554,786.462
South Klamath Lake East,"155, 60, -90",false,false,787.876,787.389
McKinleyville (alt1),"318, 35, 90",false,false,788.493,788.437
Mad River (alt1),"321, 35, 90",false,false,790.459,790.367
South Klamath Lake West,"337, 60, -90",false,false,790.460,790.431
Fickle Hill (alt1),"325, 35, 90",false,false,791.347,764.547
Table Bluff,"295, 45, 90",false,false,801.412,801.022
Little Salmon (Offshore),"308, 30, 90",false,false,813.220,812.720
